,System 1,System 2,System 3,System 4,System 5,System 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,M1 STA,DM1 STA,M2 STA,DM2 STA,M3 STA,DM3 STA,M4 STA,DM4 STA,M5 STA,DM5 STA,M6 STA,DM6 STA,LQR Value function,LQR Integral value function,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6
10,4.72,4.79,4.83,4.76,4.76,4.67,5.062821518156257,5.062821518156257,5.062821518156257,5.062821518156257,5.062821518156257,5.062821518156257,0.2655307371449237,0.5472582335230769,0.259669390008932,0.5472582335230769,0.2035694655384421,0.4473582335230769,0.26103690140828123,0.5472582335230769,0.28864688959841117,0.5472582335230769,0.28044713155567924,0.5472582335230769,2951.81248200408,33867.12291678606,-39.77841321364807,-32.77666361346228,-27.77390547823371,-35.77741344211335,-35.77741344211335,-44.779662928066465
11,4.72,4.79,4.9,4.77,4.84,4.67,5.069101282748944,5.069101282748944,5.069101282748944,5.069101282748944,5.069101282748944,5.069101282748944,0.288082931122779,0.5967109752895539,0.2732462023954458,0.5967109752895539,0.1967001131640016,0.3969108752895538,0.2779545039420152,0.5967109752895539,0.2791896439216723,0.4967109752895538,0.3063069938790875,0.5967109752895539,2999.5403464986066,36866.66326328467,-40.902439500755094,-33.9006899005693,-20.89442279869996,-35.90118978633671,-27.89667906133225,-45.90368921517348
12,4.79,4.8,4.88,4.77,4.76,4.69,5.0753803653398695,5.0753803653398695,5.0753803653398695,5.0753803653398695,5.0753803653398695,5.0753803653398695,0.2906427854872365,0.5461142643142642,0.2817118860338892,0.6461142643142643,0.19829282178609878,0.3465139644142643,0.293580112332421,0.6461142643142643,0.29529187947685276,0.5462142643142643,0.3288397893259525,0.6461142643142643,2979.2972333732923,39845.96049665796,-34.021390952765735,-34.02390213470075,-23.017627254393954,-37.024651963351815,-37.023143542541625,-45.02665150642118
13,4.68,4.8,4.83,4.79,4.87,4.72,5.08165870395702,5.08165870395702,5.08165870395702,5.08165870395702,5.08165870395702,5.08165870395702,0.31580471617140404,0.59556815004995,0.28745376053549565,0.59546815004995,0.21542030264212475,0.39616745044985,0.2971176425152468,0.59546815004995,0.28310708963014974,0.4956680500499501,0.34584168705132917,0.6954681500499501,2965.974787390995,42811.93528404895,-46.14803544967686,-34.14403337394786,-29.14477360821536,-35.144283316831526,-26.141527168431917,-43.148794041835984
14,4.67,4.81,4.88,4.79,4.89,4.72,5.08793623663573,5.08793623663573,5.08793623663573,5.08793623663573,5.08793623663573,5.08793623663573,0.34061940647950784,0.6449725818999001,0.28726752041109443,0.5448726818999,0.2139759270533852,0.3457712829994002,0.3044918714057107,0.6448726818999001,0.27027023555394986,0.44517238199990017,0.36136906814145725,0.7447726818999002,2982.176982156789,45794.11226620574,-48.27160399942235,-33.26434191586849,-24.266080888538347,-36.26760292645448,-24.26258652407422,-44.27111089033412
15,4.68,4.81,4.88,4.8,4.88,4.71,5.094212901419286,5.094212901419286,5.094212901419286,5.094212901419286,5.094212901419286,5.094212901419286,0.3630053854965297,0.6943276093180003,0.28911286325055274,0.49432780921800007,0.21814330226066464,0.3954255117164008,0.30455299103702654,0.5942278092180001,0.2602458310902237,0.39472720961790025,0.37752393182219,0.7940279092180004,2967.9393664248123,48762.05163263055,-48.394090443756184,-33.385320941150496,-25.391817550066158,-35.387329247728005,-25.384815248088604,-46.39309646382994
16,4.72,4.82,4.77,4.81,4.86,4.75,5.100488636359539,5.100488636359539,5.100488636359539,5.100488636359539,5.100488636359539,5.100488636359539,0.37751911088088674,0.7436332817086824,0.2881950255355085,0.4438334814087821,0.24199018737636246,0.44503008620468437,0.3030751222178453,0.543633581408782,0.2554992400394469,0.34433248240828235,0.37522123901169807,0.7432338813087823,2940.9822607386723,51703.033893369226,-45.515239138839796,-32.506463860311534,-37.51971266244104,-34.507470408525435,-27.507706751993588,-42.51048427824617
17,4.7,4.83,4.87,4.8,4.88,4.73,5.106763379517521,5.106763379517521,5.106763379517521,5.106763379517521,5.106763379517521,5.106763379517521,0.39483849801609183,0.7928896484269737,0.28593003277166923,0.3933896479273733,0.2418606981142184,0.3945850561184797,0.31185224436136716,0.5930899478273733,0.24851607265923498,0.2939881499258741,0.3846345623961741,0.7924906474274735,2961.6508530316455,54664.68474640087,-48.637293870094446,-31.628013913946234,-27.639001231034822,-36.6312807161408,-25.630004620081408,-45.63254301453275
18,4.7,4.83,4.86,4.81,4.89,4.76,5.113037068964049,5.113037068964049,5.113037068964049,5.113037068964049,5.113037068964049,5.113037068964049,0.41046668074889125,0.8420967587785468,0.28635082247875443,0.3429962582794459,0.25190778935275104,0.4441904710623612,0.31183794166558904,0.5424968578795459,0.2416301517633594,0.24369416177594821,0.38150942403204124,0.741698156780046,2965.669809463033,57630.3545558639,-49.75824939440256,-31.750214344134342,-29.764200741836635,-35.7512286864717,-24.752951866965308,-42.74999158639814
19,4.7,4.84,4.87,4.82,4.89,4.75,5.119309642780341,5.119309642780341,5.119309642780341,5.119309642780341,5.119309642780341,5.119309642780341,0.42411940314335805,0.8912546620197683,0.2844597299861585,0.2926532620211665,0.2530394652214384,0.39374628059129885,0.3102352792753175,0.4919543610216664,0.23716559593797018,0.19345046761417228,0.38191773897938525,0.6909564586232659,2967.5347311004857,60597.88928696439,-50.87859989802952,-30.872558565851744,-28.885530227327685,-34.87157239373244,-24.876541794386238,-43.86883766624078
20,4.77,4.89,4.73,4.83,4.84,4.79,5.125581039058627,5.125581039058627,5.125581039058627,5.125581039058627,5.125581039058627,5.125581039058627,0.41689993073299464,0.8403634073577485,0.2738366874475944,0.24236060875914534,0.2793766955805521,0.44335253431070754,0.30758130564972663,0.44146240666064474,0.25206504073030805,0.24325701714655812,0.37552980919550316,0.6402655021646426,2945.565649736648,63543.45493670104,-43.993828957076225,-25.994290052797584,-44.01375803239194,-33.99230513827089,-31.004528602044555,-39.986825066455836
