,System 1,System 2,System 3,System 4,System 5,System 6,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6,M1 STA,DM1 STA,M2 STA,DM2 STA,M3 STA,DM3 STA,M4 STA,DM4 STA,M5 STA,DM5 STA,M6 STA,DM6 STA,LQR Value function,LQR Integral value function,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6
11,4.7,4.67,4.87,4.74,4.77,4.69,5.069101282748944,5.069101282748944,5.069101282748944,5.069101282748944,5.069101282748944,5.069101282748944,0.33061929801779416,0.5967109752895539,0.34462314922670473,0.5967109752895539,0.2574257618177695,0.4967109752895538,0.288003281023407,0.5967109752895539,0.32739562796994776,0.4967109752895538,0.31069260372154217,0.5967109752895539,2766.404737998688,43861.38896252531,-47.28237552463175,-48.683214105393304,-34.31689010083088,-45.41978256843165,-38.97816151808968,-47.749547384642376
12,4.64,4.66,4.82,4.74,4.79,4.69,5.0753803653398695,5.0753803653398695,5.0753803653398695,5.0753803653398695,5.0753803653398695,5.0753803653398695,0.35567587710170423,0.6461142643142643,0.36620577298540424,0.6461142643142643,0.25942188222557877,0.4462142643142643,0.3067421540911745,0.6461142643142643,0.31973676715839056,0.4462142643142643,0.33274645792124263,0.6461142643142643,2391.5632754394796,46252.95223796479,-69.25057368292632,-68.01082161479499,-45.01350929551359,-63.044360930460094,-46.874598421830235,-66.14709455496809
13,4.67,4.82,4.69,4.76,4.79,4.71,5.08165870395702,5.08165870395702,5.08165870395702,5.08165870395702,5.08165870395702,5.08165870395702,0.3759777580868054,0.6954681500499501,0.3529004663389923,0.59546815004995,0.28544323168385416,0.49576805004995006,0.32022455427434743,0.6954681500499501,0.31382526695141705,0.3957680500499501,0.35071056640986165,0.6954681500499501,2046.8671096536743,48299.81934761846,-88.51926177934891,-68.66584928124645,-70.80993213529673,-81.45804341974313,-54.87729780706461,-85.3807126329864
14,4.64,4.81,4.74,4.76,4.85,4.7,5.08793623663573,5.08793623663573,5.08793623663573,5.08793623663573,5.08793623663573,5.08793623663573,0.39865150835838753,0.7447726818999002,0.34207448955500414,0.5448726818999,0.3051146295234068,0.5452722819999001,0.33212798232516,0.7447726818999002,0.3009403439743268,0.34537228199990017,0.3688909103861923,0.7447726818999002,1755.2381925565132,50055.057540174974,-112.81532653218282,-77.86267847155553,-84.47359951397148,-101.54845114247446,-55.15213244106352,-107.18152087203532
15,4.62,4.85,4.79,4.76,4.89,4.68,5.094212901419286,5.094212901419286,5.094212901419286,5.094212901419286,5.094212901419286,5.094212901419286,0.42219364327054637,0.7940279092180004,0.32841143977470266,0.49432780921800007,0.30846051043850564,0.49472700971790023,0.34198323601944874,0.7940279092180004,0.28543250499236816,0.2950269097179003,0.3887431235975837,0.7940279092180004,1588.543936413012,51643.60147658799,-134.9693067198041,-78.58762876299427,-85.02768404268704,-120.04205042725648,-53.13521220541476,-128.57172789951252
16,4.63,4.82,4.85,4.75,4.93,4.69,5.100488636359539,5.100488636359539,5.100488636359539,5.100488636359539,5.100488636359539,5.100488636359539,0.44289740182022597,0.8432338813087824,0.31989153987818936,0.4438334814087821,0.29865291055146065,0.4442322827081823,0.35511501551833596,0.8432338813087824,0.2677553179124079,0.24473188280818242,0.40514247545162824,0.8432338813087824,1499.8742086573031,53143.47568524529,-150.62654239845406,-83.08690471763117,-79.65760225299273,-136.73341796115494,-47.645009861753564,-143.67961968013412
17,4.86,4.79,4.77,5.05,4.59,4.98,5.106763379517521,5.106763379517521,5.106763379517521,5.106763379517521,5.106763379517521,5.106763379517521,0.42431463067232306,0.7923906474274736,0.32065418558722836,0.3933896479273733,0.3145097221591779,0.49378805042547413,0.3304192948402723,0.7923906474274736,0.299875305964965,0.29448715092537425,0.38151268606158045,0.7923906474274736,1481.3004873982627,54624.77617264356,-123.78295216546286,-85.04807793264358,-99.36279668770915,-100.70876245527329,-97.62767422746921,-109.20908897798752
18,4.98,4.69,4.89,4.93,4.64,5.09,5.113037068964049,5.113037068964049,5.113037068964049,5.113037068964049,5.113037068964049,5.113037068964049,0.3994321407090097,0.7415982567800461,0.3434658231304286,0.4429962582794459,0.300986425161693,0.44329426237504865,0.31497854634420835,0.7415982567800461,0.3274879281426371,0.34419266377444885,0.3531313798517267,0.7415982567800461,1531.0006374863453,56155.7768101299,-105.63827795468349,-105.80897896533722,-80.98464196207219,-111.85564698558798,-100.15011567441917,-91.96659036939008
19,4.74,4.79,4.96,4.81,4.98,4.72,5.119309642780341,5.119309642780341,5.119309642780341,5.119309642780341,5.119309642780341,5.119309642780341,0.397937463695643,0.690856658523266,0.34041353503128685,0.39255326202116647,0.28253439551692666,0.3928509681126736,0.3175620230741123,0.690856658523266,0.3045746541731681,0.2938484711106744,0.37308770793859664,0.7908566585232661,1568.2927004137016,57724.0695105436,-130.47850043287286,-88.38186277839662,-67.13941845037978,-121.71978103761123,-52.7397449233085,-144.99745635777913
20,4.77,5.05,4.75,4.99,4.75,4.85,5.125581039058627,5.125581039058627,5.125581039058627,5.125581039058627,5.125581039058627,5.125581039058627,0.3920996869000887,0.6401658018647427,0.3131215268941757,0.34216070875914534,0.3044824995516771,0.4424581171445609,0.29855749008661686,0.6401658018647427,0.3231967781887542,0.3435546226395637,0.3618875521063889,0.7400658018647428,1627.4834623113336,59351.55297285494,-120.61847954615168,-50.185168958468616,-99.56774129799597,-93.16677696626515,-87.78647685881386,-122.53451535958988
